Date : 2022-04-05 17:05:00
Directory : c:\Users\wadan\Desktop\Man-Brother-s-Poker
Total : 75 files,  7079 codes, 267 comments, 1104 blanks, all 8450 lines

Languages
+-----------+------------+------------+------------+------------+------------+
| language  | files      | code       | comment    | blank      | total      |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\ShowDownBtn.cs                   | C#        |         30 |          4 |         12 |         46 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\ShowDownPanel.cs                 | C#        |         18 |          3 |          5 |         26 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\UpperButtons.cs                  | C#        |         34 |          0 |          8 |         42 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Canvas\ScreenCanvas\WinnerPanel.cs                   | C#        |         21 |          1 |          8 |         30 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\GameMenu.cs                                          | C#        |         29 |          1 |          6 |         36 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\GuiCamFacing.cs                                      | C#        |         13 |          0 |          4 |         17 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Sprite\CardSprite.cs                                 | C#        |         37 |          0 |          7 |         44 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameSc\UI\Sprite\IconSprite.cs                                 | C#        |         47 |          0 |          7 |         54 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GameTable.cs                                                   | C#        |         77 |          3 |         13 |         93 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\GeneralManager\GameManager.cs                                  | C#        |         17 |          5 |          7 |         29 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\ListShuffler.cs                                                | C#        |         18 |          0 |          5 |         23 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Player.cs                                                      | C#        |         15 |          1 |          2 |         18 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\RadialFill.cs                                                  | C#        |         49 |          1 |         12 |         62 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\Room.cs                                                        | C#        |         -1 |          0 |          0 |         -1 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\ScriptTester.cs                                                | C#        |         17 |          0 |          4 |         21 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\GameMessage.cs                                 | C#        |         25 |          0 |          8 |         33 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\GameMsgHandler.cs                              | C#        |         62 |          2 |         15 |         79 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\MainMessage.cs                                 | C#        |          7 |          0 |          2 |          9 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\MainMsgHandler.cs                              | C#        |         13 |          0 |          3 |         16 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\RoomMessage.cs                                 | C#        |          7 |          2 |          1 |         10 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\Scripts\WebSocketScript\RoomMsgHandler.cs                              | C#        |          5 |          1 |          1 |          7 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader                    | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader                          | ShaderLab |        112 |          3 |         31 |        146 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader                                 | ShaderLab |        109 |          2 |         33 |        144 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader                            | ShaderLab |        243 |          4 |         71 |        318 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader                                | ShaderLab |        241 |          4 |         66 |        311 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Masking.shader                     | ShaderLab |        188 |         10 |         50 |        248 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile Overlay.shader                     | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile SSD.shader                         | ShaderLab |         82 |          4 |         21 |        107 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader                             | ShaderLab |        183 |          8 |         50 |        241 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader                     | ShaderLab |        103 |          8 |         28 |        139 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader                            | ShaderLab |        122 |          4 |         33 |        159 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF.shader                                    | ShaderLab |        243 |          4 |         71 |        318 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader                                 | ShaderLab |         93 |          0 |         22 |        115 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro.cginc                                       | HLSL      |         63 |          2 |         20 |         85 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc                                | HLSL      |        122 |          2 |         34 |        158 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc                            | HLSL      |         62 |         10 |         14 |         86 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc                               | HLSL      |         76 |          7 |         19 |        102 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Sprites\EmojiOne.json                                     | JSON      |        155 |          0 |          2 |        157 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0-prev.log                                              | Log       |        177 |          0 |         13 |        190 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0.log                                                   | Log       |        252 |          0 |         20 |        272 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\Packages-Update.log                                                      | Log       |         43 |          0 |          4 |         47 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-AssetImportWorker0.log                                    | Log       |          2 |          0 |          2 |          4 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe0.log                              | Log       |          2 |          0 |          2 |          4 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Packages\manifest.json                                                        | JSON      |         45 |          0 |          1 |         46 |
| c:\Users\wadan\Desktop\Man-Brother-s-Poker\Packages\packages-lock.json                                                   | JSON      |        351 |          0 |          1 |        352 |
| Total                                                                                                                    |           |      7,079 |        267 |      1,104 |      8,450 |
+--------------------------------------------------------------------------------------------------------------------------+-----------+------------+------------+------------+------------+
