"filename", "language", "JSON", "Log", "XML", "C#", "HLSL", "ShaderLab", "comment", "blank", "total"
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -183, -8, -50, -241
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface-Mobile.shader", "ShaderLab", 0, 0, 0, 0, 0, -103, -8, -28, -139
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF-Surface.shader", "ShaderLab", 0, 0, 0, 0, 0, -122, -4, -33, -159
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_SDF.shader", "ShaderLab", 0, 0, 0, 0, 0, -243, -4, -71, -318
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMP_Sprite.shader", "ShaderLab", 0, 0, 0, 0, 0, -93, 0, -22, -115
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro.cginc", "HLSL", 0, 0, 0, 0, -63, 0, -2, -20, -85
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Mobile.cginc", "HLSL", 0, 0, 0, 0, -122, 0, -2, -34, -158
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Properties.cginc", "HLSL", 0, 0, 0, 0, -62, 0, -10, -14, -86
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Shaders\TMPro_Surface.cginc", "HLSL", 0, 0, 0, 0, -76, 0, -7, -19, -102
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Assets\TextMesh Pro\Sprites\EmojiOne.json", "JSON", -155, 0, 0, 0, 0, 0, 0, -2, -157
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0-prev.log", "Log", 0, -99, 0, 0, 0, 0, 0, -7, -106
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\AssetImportWorker0.log", "Log", 0, -734, 0, 0, 0, 0, 0, -85, -819
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\Packages-Update.log", "Log", 0, -43, 0, 0, 0, 0, 0, -4, -47
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-AssetImportWorker0.log", "Log", 0, -14, 0, 0, 0, 0, 0, -8, -22
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe0.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe1.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe10.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe11.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe12.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe2.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe3.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe4.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe5.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe6.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe7.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe8.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Logs\shadercompiler-UnityShaderCompiler.exe9.log", "Log", 0, -2, 0, 0, 0, 0, 0, -2, -4
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Packages\manifest.json", "JSON", -45, 0, 0, 0, 0, 0, 0, -1, -46
"c:\Users\wadan\Desktop\Man-Brother-s-Poker\Packages\packages-lock.json", "JSON", -351, 0, 0, 0, 0, 0, 0, -1, -352
"Total", "-", -551, -916, -2058, -274, -323, -2011, -111, -862, -7106
